modelo_equipamento,num_série_equipamento,Quant,des_nome_equipamento,des_categoria,num_potencia,des_potencia,Marca,Id_sala,Setor,num_andar,des_nome_generico_equipamento,idade_equipamento,observ,responsável pela contagem,,,,,,,,,,,,,,,,,
ELTRON EL BP,133505,1,BEBEDOURO DE PRESSÃO MASTERFRIO,Eletrodoméstico,70,W,MASTERFRIO,COPA 7 PISO,ÁREA COMUM,7,Outros,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
LU10,,1,CHALEIRA ELÉTRICA LUNA 1.5L,Eletrodoméstico,900,W,LUNA,COPA 7 PISO,ÁREA COMUM,7,Chaleira Elétrica,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
BDJ30,,1,COOKTOP ELÉTRICO BRASTEMP 2 BOCAS,Eletrodoméstico,3000,W,BRASTEMP,COPA 7 PISO,ÁREA COMUM,7,Outros,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
CRC30,,1,REFRIGERADOR CONSUL PRATICE 300L,Eletrodoméstico,95,W,CONSUL,COPA 7 PISO,ÁREA COMUM,7,Geladeira,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
LÂMPADA TUBULAR,,2,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA 7 PISO,ÁREA COMUM,7,Lâmpadas,,,CONTAGEM JÚLIA,,,,,,,,,,,,,,,,,
24BL550J - B (Modelo),307AZRDA7110,2,Monitor Positivo 24BL550J-B,Informática,36,W,POSITIVO,Gerência administrativa e Secretaria,PROPESQ,9,Computador,9,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
MASTER C4400 MINIPRO ROHS,5A429PY9J,2,POSITIVO MASTER C4400 MINIPRO ROHS,Informática,64.98,W,POSITIVO,Gerência administrativa e Secretaria,PROPESQ,2,Computador,2,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
LÂMPADA TUBULAR,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,Gerência administrativa e Secretaria,PROPESQ,,Lâmpadas,,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
50PUG6654/78,3A5808161332AC PV,1,"TELEVISÃO LED (TV) PHILIPS, 50 POLEGADAS",Eletrodoméstico,126,w,PHILIPS,Sala de Reuniões - 718,PROPESQ,6,Televisão,6,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,,1,NOTEBOOK (com processador AMD Ryzen),Informática,65,W,LENOVO,Sala de Reuniões - 718,PROPESQ,2,Computador,2,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
ThinkPad E14 Gen 1 (Modelo: 21CU),PB0AD6RD,1,NOTEBOOK LENOVO THINKPAD E14 GEN 1,Informática,65,W,LENOVO,Sala de Reuniões - 719,PROPESQ,3,Computador,3,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO SPLIT DAÍKIN,Climatização,12000,BTU,DAIKIN,Sala de Reuniões - 719,PROPESQ,7,Ar Condicionado,7,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO DE JANELA/CAIXA ELECTROLUX,Climatização,7500,BTU,ELECTROLUX,Gerência administrativa e Secretaria,PROPESQ,7,Ar Condicionado,11,,CONTAGEM NICOLE,,,,,,,,,,,,,,,,,
,,1,,Informática,40,W,Dell,Propesq,PROPESQ,7,Computador,,,CANTAGEM CAIO E GABRIEL,,,,,,,,,,,,,,,,,
